id;day;month;year;timeofday;timeofdayrecode;incident_type;incident_action;latitude;longitude;territorial_water_status;closest_coastal_state;closest_state_cow_code;location_precision;geolocation_source;location_description;vessel_name;vessel_type;vessel_country;Vessel_country_cow_code;vessel_status;Violence Dummy;Steaming Recode;Incident_type_recode;Incident_action_recode
625;20;5;1997;;-99;Actual;Boarding;-22,8933333;-43,1667;Brazil;Brazil;140;4;IMB;Rio de Janeiro, Brazil;CALAPALOS;4;Germany;255;Steaming;1;1;1;2
626;20;5;1997;;-99;Actual;Boarding;40,5383;19,0126;Albania;Albania;339;4;IMB;In the straits, Albania;Sagittarius;-99;Greece;350;Steaming;0;1;1;2
627;23;5;1997;;-99;Actual;Boarding;30,31666667;115,1333;China;China;710;4;IMB;Chang Jiang Anchorage, China;;-99;;;Unspecified;0;-99;1;2
628;25;5;1997;;-99;Actual;Boarding;4,0431667;9,6667;Cameroon;Cameroon;471;4;IMB;Douala, Cameroon;Torm Freya;6;Denmark;390;Unspecified;0;-99;1;2
629;29;5;1997;;-99;Actual;Boarding;8,566666667;81,2333;Sri Lanka;Sri Lanka;780;4;IMB;Tricomalee, Sri Lanka;Athena;2;Greece;350;Anchored;1;2;1;2
630;30;5;1997;;-99;Actual;Boarding;1,1245;104,0517;Indonesia;Indonesia;850;4;IMB;Off Batam Island, Indonesia;Sinfa;6;Singapore;830;Unspecified;1;-99;1;2
632;30;5;1997;;-99;Actual;Boarding;52,9646;5,3960;Netherlands;Netherlands;210;4;IMB;Workum, Netherlands;Feeling;9;;;Unspecified;1;-99;1;2
631;30;5;1997;;-99;Actual;Boarding;39,364;-9,4250;Portugal;Portugal;235;4;IMB;Peniche Marina, Portugal;Fair Lady;9;;;Unspecified;1;-99;1;2
633;31;5;1997;;-99;Actual;Boarding;22,8196667;70,2203;India;India;750;4;IMB;Kandla, India;ICL Raja Rajan;2;India;750;Unspecified;0;-99;1;2
634;;5;1997;;-99;Actual;Boarding;-23,9761667;-46,2872;Brazil;Brazil;140;4;IMB;Santos, Brazil;;-99;;;Steaming;0;1;1;2
635;3;6;1997;;-99;Actual;Boarding;10,25;-64,6267;Venezuela;Venezuela;101;4;IMB;Puerta la Cruz, Venezuela;Nord-Jahre;8;Norway;385;Unspecified;0;-99;1;2
636;4;6;1997;;-99;Actual;Boarding;18,4166667;-70,0000;Haiti;Haiti;41;2;IMB;Rio Haina, Dominican Republic;Nordfarer;8;Bahamas;31;Anchored;1;2;1;2
637;6;6;1997;;-99;Actual;Boarding;-5,9366667;106,0038;Indonesia;Indonesia;850;4;IMB;Merak, Indonesia;;7;;;Steaming;0;1;1;2
638;11;6;1997;;-99;Actual;Missing;39,4953;20,1845;Greece;Greece;350;4;IMB;Near Igoumenitsa, Greece;;10;Greece;350;Steaming;1;1;1;5
639;11;6;1997;;-99;Actual;Missing;41,3125;19,3401;Albania;Albania;339;4;IMB;Near Durres, Albania;;10;Italy;325;Steaming;1;1;1;5
642;13;6;1997;;-99;Actual;Boarding;0,0248333;117,5380;Indonesia;Indonesia;850;4;IMB;Tanjun Meranggas, Indonesia;Bernadette T.;2;Greece;350;Unspecified;0;-99;1;2
643;13;6;1997;;-99;Actual;Boarding;0,0248333;117,5380;Indonesia;Indonesia;850;4;IMB;Tg. Meranggas, Indonesia;Bernadette T.;2;Greece;350;Unspecified;0;-99;1;2
644;13;6;1997;;-99;Actual;Boarding;14,6666667;-17,3667;Senegal;Senegal;433;4;IMB;Dakar, Senegal;Nord-Jahre;10;Norway;385;Unspecified;0;-99;1;2
641;13;6;1997;;-99;Actual;Boarding;-2,8333;106,9667;Indonesia;Indonesia;850;4;IMB;Lephlia Strait, Indonesia;ACX Lilac;4;Panama;95;Unspecified;1;-99;1;2
640;13;6;1997;;-99;Actual;Boarding;-6,0433333;105,9167;Indonesia;Indonesia;850;2;IMB;Anyer, Indonesia;;7;;;Anchored;0;2;1;2
645;15;6;1997;;-99;Actual;Boarding;-23,9761667;-46,2872;Brazil;Brazil;140;4;IMB;Santos, Brazil;Al Burgan;7;Kuwait;690;Unspecified;1;-99;1;2
646;17;6;1997;;-99;Actual;Boarding;-6,833333333;39,2833;Tanzania;Tanzania;510;4;IMB;Dar Es Salam, Tanzania;Stella TH;-99;Liberia;450;Unspecified;0;-99;1;2
647;19;6;1997;;-99;Actual;Boarding;-0,5265;117,1500;Indonesia;Indonesia;850;2;IMB;Samarinda Anchorage, Indonesia;Maritime Light;2;Singapore;830;Unspecified;0;-99;1;2
648;23;6;1997;;-99;Actual;Boarding;22,8196667;70,2203;India;India;750;4;IMB;Kandla, India;Rita;3;Italy;325;Unspecified;1;-99;1;2
649;24;6;1997;;-99;Actual;Boarding;-5,9366667;106,0038;Indonesia;Indonesia;850;2;IMB;Merak, Indonesia;Sky Ace;8;;;Anchored;0;2;1;2
650;25;6;1997;;-99;Attempted;;46,5;151,5000;Russia;Russia;365;4;IMB;Kurles Islands, Russia;;5;Japan;740;Unspecified;1;-99;0;-99
651;26;6;1997;;-99;Actual;Boarding;-6,0166667;105,9500;Indonesia;Indonesia;850;2;IMB;Cigading Port, Indonesia;Noble Glory;-99;;;Anchored;1;2;1;2
652;28;6;1997;;-99;Attempted;;3;101,4000;Malaysia;Malaysia;820;2;IMB;Port Klang, Malaysia;Ibn Qutaibah;6;Saudi Arabia;670;Anchored;0;2;0;-99
653;30;6;1997;;-99;Attempted;;1,4666667;103,0667;Malaysia;Malaysia;820;1;IMB;Indonesia;Kiso Maru;2;Thailand;800;Unspecified;0;-99;0;-99
654;1;7;1997;;-99;Actual;Boarding;-6,0886667;106,8750;Indonesia;Indonesia;850;4;IMB;Jakarta bay, Indonesia;;9;Germany;255;Unspecified;1;-99;1;2
655;1;7;1997;;-99;Attempted;;8,9892;79,8801;Sri Lanka;Sri Lanka;780;4;IMB;Mannar, Sri Lanka;Taraki;-99;;;Unspecified;1;-99;0;-99
657;2;7;1997;;-99;Actual;Boarding;-2,6667;107,2500;Indonesia;Indonesia;850;4;IMB;Gelasa Straits, Indonesia;Leira;2;Bahamas;31;Steaming;0;1;1;2
656;2;7;1997;;-99;Actual;Boarding;-7,0166667;118,2333;Indonesia;Indonesia;850;1;IMB;Indonesia;OOCL Accord;4;;;Steaming;0;1;1;2
658;7;7;1997;;-99;Actual;Boarding;20,85;106,7000;Vietnam;Vietnam;816;4;IMB;Haiphong, Vietnam;Oscar Venture;-99;;;Unspecified;0;-99;1;2
659;8;7;1997;;-99;Actual;Boarding;20,9355;107,0892;Vietnam;Vietnam;816;2;IMB;Hongai Port, Vietnam;Argonaut;2;St. Vincent and Grenadines;57;Anchored;0;2;1;2
660;9;7;1997;;-99;Actual;Boarding;22,2166667;91,7932;Bangladesh;Bangladesh;771;4;IMB;Chittagong, Bangladesh;Bunga Kantan;2;Malaysia;820;Unspecified;1;-99;1;2
662;11;7;1997;;-99;Actual;Boarding;6,95;79,8432;Sri Lanka;Sri Lanka;780;2;IMB;Colombo, Sri Lanka;Bunga Mas Lima;4;Malaysia;820;Anchored;1;2;1;2
661;11;7;1997;;-99;Actual;Boarding;-22,8933333;-43,1667;Brazil;Brazil;140;4;IMB;Rio de Janeiro, Brazil;;-99;;;Unspecified;1;-99;1;2
664;13;7;1997;;-99;Actual;Boarding;25,76666667;-80,1667;United States;United States;2;4;IMB;Miami, Florida, USA;Venderpool Express;6;Belize;80;Steaming;1;1;1;2
663;13;7;1997;;-99;Actual;Boarding;14,5931667;121,0000;Philippines;Philippines;840;2;IMB;Manila Port, Philippines;Ville D'Aquarius;4;Germany;255;Unspecified;0;-99;1;2
665;20;7;1997;;-99;Actual;Boarding;22,2166667;91,7932;Bangladesh;Bangladesh;771;4;IMB;Chittagong, Bangladesh;Eburna;8;Isle of Man;200;Unspecified;0;-99;1;2
